Format,MoTeC CSV File,,,Workbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venue,monza,,,Worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,ferrari_f40_s3,,,Vehicle Desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver,RLD!,,,Engine ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device,ADL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Tires: Medium Slicks 90s (M),,,Session,PRACTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log Date,24/06/2021,,,Origin Time,"202,238",s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log Time,16:23:00,,,Start Time,"202,3",s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Rate,10,Hz,,End Time,"343,6",s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,"141,3",s,,Start Distance,"6434,8",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Range,Lap 1,,,End Distance,"12186,4",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,SD9,AID Stability,AID Tire Wear Rate,Air Density,Air Temp,Ballast,Best Lap Delta,Best Lap Time,Brake Bias,SA74,SA8,SA10,SA12,SA14,SA21,SA22,SA23,CG Height,Camber FL,Camber FR,Camber RL,Camber RR,SA17,SA18,Car Coord Z,Car Damage Front,Car Damage Left,Car Damage Rear,Car Damage Right,Car Pos Norm,Caster FL,Caster FR,Chassis Pitch Angle,Chassis Pitch Rate,Chassis Roll Angle,Chassis Roll Rate,Chassis Velocity X,Chassis Velocity Y,Chassis Velocity Z,Chassis Yaw Rate,Clutch Pos,DRS Active,DRS Available,SA56,ERS Heat Charging,ERS Is Charging,ERS Max Energy,ERS Power Level,ERS Recovery Level,Engine Brake Setting,Engine Limiter,SA57,Flags,SA34,Gear,SA61,HR Sample Clock,In Pit,KERS Charge,KERS Deployed Energy,KERS Input,KERS Max Energy,LR Sample Clock,Lap Invalidated,SA80,Lap Time2,Last Lap Time,Last Sector Time,MR Sample Clock,Max Fuel,Max Power,Max RPM,Max Sus Travel FL,Max Sus Travel FR,Max Sus Travel RL,Max Sus Travel RR,Max Torque,Max Turbo Boost,Num Tires Off Track,Penalties Enabled,Position,Raw Data Sample Rate,Ride Height FL,Ride Height FR,Ride Height RL,Ride Height RR,Road Temp,Self Align Torque FL,Self Align Torque FR,Self Align Torque RL,Self Align Torque RR,Session Lap Count,Session Time Left,SA16,Surface Grip,Suspension Travel FL,Suspension Travel FR,Suspension Travel RL,Suspension Travel RR,TC Active,TC Enabled,SA1,Tire Dirt Level FL,Tire Dirt Level FR,Tire Dirt Level RL,Tire Dirt Level RR,Tire Load FL,Tire Load FR,Tire Load RL,Tire Load RR,Tire Loaded Radius FL,Tire Loaded Radius FR,Tire Loaded Radius RL,Tire Loaded Radius RR,Tire Pressure FL,Tire Pressure FR,Tire Pressure RL,Tire Pressure RR,Tire Radius FL,Tire Radius FR,Tire Radius RL,Tire Radius RR,Tire Rubber Grip FL,Tire Rubber Grip FR,Tire Rubber Grip RL,Tire Rubber Grip RR,Tire Slip Angle FL,Tire Slip Angle FR,Tire Slip Angle RL,Tire Slip Angle RR,Tire Slip Ratio FL,Tire Slip Ratio FR,Tire Slip Ratio RL,Tire Slip Ratio RR,Tire Temp Core FL,SA63,SA64,Tire Temp Core RR,Tire Temp Inner FL,Tire Temp Inner FR,Tire Temp Inner RL,Tire Temp Inner RR,Tire Temp Middle FL,Tire Temp Middle FR,Tire Temp Middle RL,Tire Temp Middle RR,Tire Temp Outer FL,Tire Temp Outer FR,Tire Temp Outer RL,Tire Temp Outer RR,Toe In FL,Toe In FR,Toe In RL,Toe In RR,Turbo Boost,SA4,SA5,SA6,SA7,Wind Direction,Wind Speed
0,1,1,1,1,1,1,0,0,0,3,"1,169",30,0,"185,26","146,873",62,0,"54,6","54,7","64,6","64,7","-0,18","0,32","0,09","416,4","-2,57","-2,76","-1,34","-1,62","201,9",409,"-8,2",0,0,0,0,0,"-5,15","-5,15","-0,3","0,87","-0,76","-1,82","61,21","-0,36","-0,66","0,79",100,0,0,"182,98",0,0,0,0,0,0,0,6115,0,"17,84",4,"220,4",1,0,0,0,0,0,0,0,"0,06","0,06","332,137","72,832",1,120,"665,9",0,80,80,105,105,228,"2,4",0,0,1,"66,7","92,3","92,3","86,9","86,9",41,"-8,65","-1,42","-38,12","6,73",3,"-676,56",0,100,"23,8",21,"35,4","31,5",0,1,100,0,0,0,0,2454,1819,4788,4044,"305,3","306,9","319,9","321,8","29,62","29,4","30,05","29,7",312,312,333,333,"96,96","96,99","96,17","96,44","0,03","-0,59","-0,51","-0,18","-0,1","-0,1","1,9","1,9","54,9","53,5","57,5","55,4","56,9","55,3","62,1","58,7","55,4","53,7","61,3","57,8","53,7",52,"60,3","56,7","-0,3","-0,26","0,14","0,15","1,6","190,93","190,85","182,98","182,98","28,5","35,7"
0,1,1,1,1,1,1,0,0,0,3,"1,169",30,0,0,"146,873",62,0,"54,3","54,3","64,2","64,4","-0,3","0,3","-0,11","420,5","-2,51","-2,71","-1,21","-1,6","201,5",402,"-8,2",0,0,0,0,0,"-5,15","-5,15","-0,4","-1,96","-0,85","-0,32","61,55","-0,33","-0,76","5,51",100,0,0,"184,58",0,0,0,0,0,0,0,6169,0,"17,83",4,"221,6",0,0,0,0,0,0,0,0,"0,18","0,18","332,137","72,832",0,120,"665,9",0,80,80,105,105,228,"2,4",0,0,1,"55,6","95,3","95,3","92,3","92,3",41,"-22,23","-8,76","-32,08","2,9",3,"-676,67","15,9",100,"22,8",17,"33,6","27,8",0,1,100,0,0,0,0,2374,1502,4298,3162,"305,5","307,9","321,3","324,3","29,62","29,4","30,05","29,7",312,312,333,333,"96,96","96,98","96,17","96,44","-0,92","-1,46","-0,55","-0,23","-0,2","-0,1","2,2","2,4","54,9","53,5","57,6","55,4","56,9","55,3","62,1","58,8","55,4","53,7","61,3","57,8","53,7",52,"60,3","56,8","0,71","-1,21","0,14","0,15","1,6","191,9","191,51","184,58","184,58","28,5","35,7"
0,1,1,1,1,1,1,0,0,0,3,"1,169",30,0,"0,01","146,873",62,0,54,54,"63,9","64,1","-0,28","0,3","-0,01","420,1","-2,34","-2,79","-1,19","-1,49","201,1","396,3","-8,1",0,0,0,0,0,"-5,15","-5,15","-0,44","0,1","-0,77","0,92","61,82","-0,63","-0,74","3,71",100,0,0,"185,32",0,0,0,0,0,0,0,6193,0,"17,83",4,"222,5",1,0,0,0,0,0,1,0,"0,27","0,27","332,137","72,832",1,120,"665,9",0,80,80,105,105,228,"2,4",0,0,1,"55,6","93,3","93,3",94,94,41,"-15,15","-3,9","-39,73","-4,73",3,"-676,77",0,100,"22,8","17,3","31,4","27,1",0,1,100,0,0,0,0,2993,2257,4181,3344,"303,9",306,"321,5","323,7","29,62","29,4","30,06","29,7",312,312,333,333,"96,96","96,98","96,17","96,44","-0,19","-0,73","-0,82","-0,48","-0,1","-0,1","2,1","2,3","54,9","53,5","57,6","55,4","56,9","55,3","62,2","58,8","55,4","53,7","61,4","57,9","53,7",52,"60,4","56,8","-0,29","-0,21","0,14","0,15","1,6","192,88","192,53","185,32","185,32","28,5","35,7"
0,1,1,1,1,1,1,0,0,0,3,"1,169",30,0,"0,01","146,873",62,0,"53,7","53,8","63,6","63,8","-0,28","0,31","0,06","417,1","-2,51","-2,83","-1,29","-1,66","200,6","390,6","-8,1",0,0,0,0,0,"-5,15","-5,15","-0,32","0,51","-0,83","-1,53","62,1","-0,6","-0,67","1,01",100,0,0,"185,75",0,0,0,0,0,0,0,6208,0,"17,82",4,"223,5",0,0,0,0,0,0,1,0,"0,36","0,36","332,137","72,832",0,120,"665,9",0,80,80,105,105,228,"2,4",0,0,1,"55,6","93,1","93,1","87,8","87,8",41,"-11,74","-3,37","-46,64","-1,69",3,"-676,86",0,100,"24,3","19,3","35,9","30,7",0,1,100,0,0,0,0,2368,1705,4887,3823,"305,3","307,3","319,8","322,5","29,63","29,4","30,06","29,71",312,312,333,333,"96,96","96,98","96,17","96,44","-0,17","-0,78","-0,73","-0,4","-0,1","-0,1",2,"2,1","54,9","53,5","57,6","55,4","56,9","55,3","62,3","58,9","55,4","53,7","61,5","57,9","53,7",52,"60,4","56,8","-0,31","-0,23","0,14","0,15","1,6","193,62","193,49","185,75","185,75","28,5","35,7"
0,1,1,1,1,1,1,0,0,0,3,"1,169",30,0,"0,01","146,873",62,0,"53,4","53,4","63,3","63,5","-0,17","0,25","-0,06",420,"-2,47","-2,77","-1,26","-1,49","200,1","384,2","-8,1",0,0,0,0,"0,01","-5,15","-5,15","-0,44","-1,28","-0,76","2,45","62,39","-0,38","-0,78","-0,26",100,0,0,"187,53",0,0,0,0,0,0,0,6267,0,"17,82",4,"224,6",1,0,0,0,0,0,1,0,"0,46","0,46","332,137","72,832",1,120,"665,9",0,80,80,105,105,228,"2,4",0,0,1,"55,6","91,7","91,7","94,2","94,2",41,"-13,81","-2,71","-22,09","2,36",3,"-676,96",0,100,23,"18,6","32,8","27,5",0,1,100,0,0,0,0,3155,2524,3410,2846,"303,3",305,"323,6","325,3","29,63","29,4","30,07","29,71",312,312,333,333,"96,96","96,98","96,17","96,44","-0,06","-0,63","-0,52","-0,21","-0,1","-0,1","2,5","2,5","54,9","53,5","57,7","55,4","56,9","55,3","62,3","58,9","55,4","53,7","61,5","57,9","53,7",52,"60,5","56,9","-0,29","-0,23","0,14","0,15","1,6","194,41","194,45","187,53","187,53","28,5","35,7"
0,1,1,1,1,1,1,0,0,0,3,"1,169",30,0,"0,02","146,873",62,0,"53,1","53,1",63,"63,1","-0,09","0,33","0,04","417,4","-2,64","-2,73","-1,52","-1,49","199,5","377,1",-8,0,0,0,0,"0,01","-5,15","-5,15","-0,33","1,04","-0,62","0,33","62,73","-0,18","-0,7","-0,65",100,0,0,"187,4",0,0,0,0,0,0,0,6263,0,"17,81",4,"225,8",0,0,0,0,0,0,1,0,"0,58","0,58","332,137","72,832",0,120,"665,9",0,80,80,105,105,228,"2,4",0,0,1,"41,7","92,3","92,3","89,1","89,1",41,"-6,53","0,09","-30,83","14,93",3,"-677,08",0,100,"23,1","21,3","32,5","30,5",0,1,100,0,0,0,0,2372,2186,4732,4523,"305,5","305,9","320,2","320,6","29,63","29,4","30,07","29,72",312,312,333,333,"96,96","96,98","96,17","96,44","0,13","-0,48","-0,32","0,01","-0,1","-0,1",2,"1,9","54,9","53,5","57,7","55,5","56,9","55,3","62,4","58,9","55,4","53,7","61,6",58,"53,7",52,"60,5","56,9","-0,29","-0,26","0,14","0,15","1,6","195,49","195,55","187,4","187,4","28,5","35,7"
0,1,1,1,1,1,1,0,0,0,3,"1,169",30,0,"0,02","146,873",62,0,"52,8","52,8","62,6","62,8","-0,04","0,29","-0,03","419,8","-2,78","-2,62","-1,5","-1,4",199,"370,7",-8,0,0,0,0,"0,01","-5,15","-5,15","-0,39","-0,7","-0,55","0,93","63,03","-0,05","-0,76","-0,56",100,0,0,"188,82",0,0,0,0,0,0,0,6311,0,"17,81",4,"226,9",1,0,0,0,0,0,1,0,"0,68","0,68","332,137","72,832",1,120,"665,9",0,80,80,105,105,228,"2,4",0,0,1,"47,6","93,3","93,3","92,4","92,4",41,"-5,11","2,67","-18,28","14,09",3,"-677,18",0,100,"21,2","20,2","30,9","29,8",0,1,100,0,0,0,0,2267,2573,3776,3746,"305,7",305,"322,7","322,7","29,63","29,4","30,08","29,72",312,312,333,333,"96,96","96,98","96,17","96,44","0,22","-0,34","-0,21","0,11","-0,1","-0,1","2,2","2,2","54,9","53,5","57,7","55,5","56,8","55,3","62,4",59,"55,3","53,7","61,6",58,"53,7",52,"60,6","56,9","-0,26","-0,25","0,14","0,15","1,6","196,35","196,41","188,82","188,82","28,5","35,7"
0,1,1,1,1,1,1,0,0,0,3,"1,169",30,0,"0,02","146,873",62,0,"52,5","52,5","62,4","62,5","-0,01","0,33","0,01","419,4","-2,83","-2,67","-1,49","-1,37","198,5","364,9",-8,0,0,0,0,"0,01","-5,15","-5,15","-0,4","0,95","-0,55","0,27","63,3","0,01","-0,76","-0,33",100,0,0,"189,44",0,0,0,0,0,0,0,6331,0,"17,8",4,"227,9",0,0,0,0,0,0,0,0,"0,77","0,77","332,137","72,832",0,120,"665,9",0,80,80,105,105,228,"2,4",0,0,1,"55,6","92,5","92,5","92,6","92,6",41,"-4,37","3,91","-19,63","18,02",3,"-677,27",0,100,"21,7","21,1","29,3","28,9",0,1,100,0,0,0,0,2465,2504,4276,4092,"305,2","305,1","321,4","321,9","29,63","29,4","30,08","29,72",312,312,333,333,"96,96","96,98","96,17","96,44","0,29","-0,29","-0,16","0,17","-0,1","-0,1","2,2","2,1","54,9","53,5","57,8","55,5","56,8","55,3","62,4",59,"55,3","53,7","61,6",58,"53,7",52,"60,6",57,"-0,27","-0,26","0,14","0,15","1,6","197,22","197,26","189,44","189,44","28,5","35,7"
0,1,1,1,1,1,1,0,0,0,3,"1,169",30,0,"0,02","146,873",62,0,"52,2","52,2","62,1","62,2","0,01","0,24",0,"420,5","-2,73","-2,6","-1,41","-1,32","197,9","358,8","-7,9",0,0,0,0,"0,01","-5,15","-5,15","-0,46","-0,55","-0,51","-0,09","63,58","0,03","-0,78","-0,21",100,0,0,"190,94",0,0,0,0,0,0,0,6381,0,"17,8",4,"228,9",1,0,0,0,0,0,0,0,"0,87","0,87","332,137","72,832",1,120,"665,9",0,80,80,105,105,228,"2,4",0,0,1,"47,6","91,1","91,1","95,2","95,2",41,"-4,87","5,45","-10,8","12,16",3,"-677,37",0,100,"20,5","21,2",29,"29,1",0,1,100,0,0,0,0,2918,3113,3082,3140,304,"303,3","324,8","324,5","29,63","29,4","30,09","29,73",312,312,333,333,"96,96","96,98","96,17","96,44","0,3","-0,27","-0,13","0,19","-0,1","-0,1","2,5","2,5","54,9","53,5","57,8","55,5","56,8","55,3","62,5","59,1","55,3","53,7","61,6","58,1","53,6",52,"60,6",57,"-0,26","-0,27","0,14","0,15","1,6","198,07","198,1","190,94","190,94","28,5","35,7"
0,1,1,1,1,1,1,0,0,0,3,"1,169",30,0,"0,02","146,873",62,0,"51,9",52,"61,8","61,9","0,01","0,32","0,06","415,9","-2,83","-2,68","-1,67","-1,55","197,4","352,9","-7,9",0,0,0,0,"0,01","-5,15","-5,15","-0,3","0,37","-0,53","-0,2","63,86","0,03","-0,68",0,100,0,0,"190,49",0,0,0,0,0,0,0,6366,0,"17,79",4,"229,9",0,0,0,0,0,0,0,0,"0,96","0,96","332,137","72,832",0,120,"665,9",0,80,80,105,105,228,"2,4",0,0,1,"55,6","92,4","92,4","86,2","86,2",41,"-3,02","3,6","-23,67","26,48",3,"-677,46",0,100,"22,1","22,7","34,2","33,9",0,1,100,0,0,0,0,2180,2333,4626,4850,"306,1","305,7","320,4","319,7","29,63","29,4","30,09","29,73",312,312,333,333,"96,96","96,98","96,16","96,44","0,33","-0,29","-0,13","0,19","-0,1","-0,1","1,8","1,8","54,9","53,5","57,8","55,6","56,8","55,3","62,5","59,1","55,3","53,7","61,7","58,1","53,6",52,"60,6","57,1","-0,27","-0,29","0,14","0,15","1,6","198,92","198,92","190,49","190,49","28,5","35,7"
0,1,1,1,1,1,1,0,0,0,3,"1,169",30,0,"0,02","146,873",62,0,"51,6","51,6","61,4","61,6",0,"0,31","-0,11","421,6","-2,75","-2,63","-1,46","-1,36","196,8","345,6","-7,9",0,0,0,0,"0,01","-5,15","-5,15","-0,47","-1,08","-0,6","-0,59","64,17","0,01","-0,81","0,11",100,0,0,"192,7",0,0,0,0,0,0,0,6440,0,"17,79",4,231,1,0,0,0,0,0,0,0,"1,08","1,08","332,137","72,832",1,120,"665,9",0,80,80,105,105,228,"2,4",0,0,1,"55,6","94,2","94,2",95,95,41,"-4,13","4,65","-13,36","13,34",3,"-677,57",0,100,"19,5","19,9","28,8","28,8",0,1,100,0,0,0,0,2399,2563,3449,3448,"305,4",305,"323,7","323,6","29,63","29,4","30,1","29,73",312,312,333,333,"96,96","96,98","96,16","96,44","0,28","-0,25","-0,15","0,17","-0,1","-0,1","2,6","2,6","54,9","53,5","57,9","55,6","56,8","55,2","62,5","59,1","55,3","53,6","61,7","58,2","53,6",52,"60,6","57,1","-0,25","-0,25","0,15","0,15","1,6","199,85","199,84","192,7","192,7","28,5","35,7"
0,1,1,1,1,1,1,0,0,0,3,"1,169",30,0,"0,03","146,873",62,0,"51,3","51,4","61,2","61,3",0,"0,3","0,04",419,"-2,75","-2,72","-1,5","-1,45","196,3","339,9","-7,9",0,0,0,0,"0,01","-5,15","-5,15","-0,41","1,04","-0,68","-0,88","64,44","-0,01","-0,73","0,19",100,0,0,"192,65",0,0,0,0,0,0,0,6439,0,"17,78",4,232,0,0,0,0,0,0,0,0,"1,17","1,17","332,137","72,832",0,120,"665,9",0,80,80,105,105,228,"2,4",0,0,1,"47,6","92,7","92,7","91,8","91,8",41,"-4,45","4,11","-19,91","18,02",3,"-677,66",0,100,"21,1","21,2","30,4","30,3",0,1,100,0,0,0,0,2632,2466,4191,3995,"304,8","305,2","321,6",322,"29,63","29,4","30,1","29,74",312,312,333,333,"96,96","96,98","96,16","96,44","0,29","-0,28","-0,17","0,17","-0,1","-0,1","2,1","2,1","54,9","53,5","57,9","55,6","56,8","55,2","62,5","59,2","55,2","53,6","61,7","58,2","53,6",52,"60,7","57,1","-0,26","-0,27","0,15","0,15","1,6","200,72","200,7","192,65","192,65","28,5","35,7"
0,1,1,1,1,1,1,0,0,0,3,"1,169",30,0,"0,03","146,873",62,0,51,"51,1","60,9",61,"-0,01","0,29","0,11","416,8","-2,85","-2,79","-1,64","-1,59","195,7","333,1","-7,8",0,0,0,0,"0,01","-5,15","-5,15","-0,33","0,76","-0,68","0,37","64,74","-0,02","-0,73","0,11",100,0,0,"193,28",0,0,0,0,0,0,0,6460,0,"17,78",4,"233,1",1,0,0,0,0,0,1,0,"1,27","1,27","332,137","72,832",1,120,"665,9",0,80,80,105,105,228,"2,4",0,0,1,37,91,91,"89,2","89,2",41,"-4,12","3,38","-24,09","20,84",3,"-677,77",0,100,"23,2","22,7","32,3","32,3",0,1,100,0,0,0,0,2451,2483,4494,4340,"305,2",305,"320,9","321,1","29,63","29,4","30,11","29,74",312,312,333,333,"96,96","96,98","96,16","96,44","0,31","-0,33","-0,18","0,14","-0,1","-0,1","1,9","1,9","54,9","53,5","57,9","55,6","56,7","55,2","62,6","59,2","55,2","53,6","61,7","58,3","53,6",52,"60,7","57,2","-0,29","-0,29","0,15","0,15","1,6","201,63","201,62","193,28","193,28","28,5","35,7"
