SA21,SA22
"0,03","0,23"
"0,02","0,24"
"0,01","0,25"
0,"0,24"
0,"0,25"
0,"0,24"
0,"0,22"
"0,01","0,21"
"0,01","0,22"
0,"0,23"
"0,01","0,19"
"0,01","0,22"
0,"0,22"
"0,01","0,21"
0,"0,22"
0,"0,22"
0,"0,22"
0,"0,2"
"0,01","0,21"
"0,02","0,19"
"0,28","0,21"
"0,53","0,18"
"0,7","0,2"
"0,79","0,18"
"0,65","0,21"
"0,5","0,21"
"0,2","0,21"
"0,04","0,2"
"-0,04","0,2"
"-0,04","0,19"
"-0,03","0,2"
0,"0,19"
"-0,01","0,19"
"0,01","0,18"
"0,01","0,17"
"0,01","0,19"
"0,01","0,18"
0,"0,18"
"0,01","0,18"
"0,01","0,17"
"-0,03","0,18"
"-0,39","0,17"
"-0,39","0,15"
"-0,45","0,19"
"-0,3","0,17"
"-0,11","0,18"
"0,01","0,14"
"0,04","0,14"
"0,07","0,17"
"0,04","0,15"
0,"0,16"
"-0,02","0,26"
"0,02","0,15"
"-0,01","0,13"
0,"0,2"
0,"0,16"
"0,01","0,15"
0,"0,15"
"0,03","0,17"
"0,02","0,16"
"0,01","0,16"
0,"0,15"
0,"0,15"
"0,03","0,12"
"0,02","0,16"
"0,01","0,14"
"0,01","0,13"
"0,01","0,13"
"0,01","0,15"
"0,01","0,16"
"0,01","0,15"
"0,01","0,14"
"0,02","0,15"
"0,01","0,14"
"0,02","0,14"
"0,03","0,13"
"0,03","0,13"
"0,03","0,13"
0,"0,12"
"0,03","0,13"
"0,01","0,12"
"0,01","0,12"
"-0,01","0,14"
0,"0,12"
"0,02","0,13"
"0,02","0,13"
"0,04","0,03"
"0,03","-1,21"
"0,01","-1,32"
0,"-1,2"
"0,02","-1,21"
"-0,01","-1,48"
0,"-1,19"
"0,01","-1,35"
"-0,01","-1,22"
"-0,01","-1,49"
"0,03","-1,38"
"0,02","-1,32"
0,"-1,44"
"0,01","-1,35"
"0,01","-1,44"
0,"-1,39"
"0,02","-1,42"
0,"-1,42"
"0,01","-1,32"
"0,02","-1,34"
"0,03","-1,28"
"0,01","-1,22"
"0,02","-1,23"
"0,01","-1,23"
"0,01","-1,19"
"0,01","-1,15"
"0,01","-1,12"
"0,01","-1,12"
0,"-1,09"
"0,01","-1,11"
"0,01","-1,06"
0,"-1,07"
