"Format","MoTeC CSV File",,,"Workbook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venue","monza",,,"Worksheet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vehicle","ferrari_f40_s3",,,"Vehicle Desc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Driver","RLD!",,,"Engine ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device","ADL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comment","Tires: Medium Slicks 90s (M)",,,"Session","PRACTICE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Log Date","02/07/2021",,,"Origin Time","322,577","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Log Time","17:29:00",,,"Start Time","322,600","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sample Rate","10,000","Hz",,"End Time","461,100","s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duration","138,500","s",,"Start Distance","11261,2","m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Range","Lap 2",,,"End Distance","17015,7","m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SD1","SD2","SD3","SD4","SD5","SD6","SD7","SD8","SD9","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","SA74","SA8","SA10","SA12","SA14","SA21","SA22","SA23","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","SA17","SA18","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","SA57","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","SA56","Flags","SA34","Gear","SA61","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","SA80","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","SA16","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","SA1","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","SA63","SA64","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","SA4","SA5","SA6","SA7","Wind Direction","Wind Speed"
"0","1","1","1","1","1","1","0","0","100","3","1,169","30,0","0,0","-76,72","137,887","62,0","0,0","203,9","201,0","201,7","197,7","-0,75","0,21","0,05","417,4","-2,50","-2,89","-1,10","-1,83","208,0","410,8","-8,3","0,00","0,00","0,00","0,00","0,00","-5,15","-5,15","-0,38","0,30","-1,60","-7,59","62,25","-0,72","-0,73","12,92","100,0","0","0","186,38","0","0","0,0","0","0","0","0","6229","0","23,61","4","224,1","0","0","0,0","0,0","0,0","0,0","1","0","0,023","0,023","137,887","49,653","0","120,00","665,9","7750","80,0","80,0","105,0","105,0","228,0","2,40","0","0","1","166,7","90,5","90,5","92,0","92,0","41,0","-58,38","-9,22","-49,19","-5,81","2","-358,190","72,3","100,0","29,3","17,7","39,8","27,2","0","0","100,0","0,00","0,00","0,00","0,00","4387","1027","4672","2843","301,8","309,4","322,2","326,3","36,32","33,52","37,59","35,90","312,0","312,0","333,0","333,0","98,70","99,59","97,18","97,89","-3,28","-4,02","-0,96","-0,65","-0,2","-0,0","1,8","2,4","96,8","79,3","104,7","94,1","107,1","81,5","106,7","91,1","103,8","79,4","107,0","90,5","98,0","76,0","103,1","87,2","3,08","-3,78","0,14","0,15","1,60","194,19","193,06","186,38","186,38","255,0","6,3"
"0","1","1","1","1","1","1","0","0","100","3","1,169","30,0","0,0","-0,02","137,887","62,0","0,0","201,5","198,7","200,1","196,1","-0,97","0,21","-0,14","419,5","-2,39","-2,83","-0,87","-2,04","207,5","404,3","-8,2","0,00","0,00","0,00","0,00","0,00","-5,15","-5,15","-0,39","-2,44","-1,84","0,16","62,41","-1,90","-0,83","22,41","100,0","0","0","187,85","0","0","0,0","0","0","0","0","6278","0","23,60","4","224,8","1","0","0,0","0,0","0,0","0,0","1","0","0,130","0,130","137,887","49,653","1","120,00","665,9","7750","80,0","80,0","105,0","105,0","228,0","2,40","0","0","1","111,1","93,5","93,5","92,0","92,0","41,0","-24,00","-3,58","-72,25","-18,13","2","-358,300","70,2","100,0","31,6","12,0","42,9","21,6","0","0","100,0","0,00","0,00","0,00","0,00","3866","773","5284","2400","303,3","310,1","321,1","327,4","36,33","33,52","37,59","35,89","312,0","312,0","333,0","333,0","98,69","99,59","97,18","97,89","-5,11","-5,84","-2,24","-1,95","-0,7","-0,4","2,2","3,2","96,8","79,2","104,7","94,1","107,3","81,5","106,7","91,0","104,1","79,4","107,0","90,4","98,2","76,0","103,1","87,1","3,73","-4,43","0,14","0,15","1,60","193,58","192,07","187,85","187,85","255,0","6,3"
"0","1","1","1","1","1","1","0","0","100","3","1,169","30,0","0,0","-0,05","137,887","62,0","0,0","199,3","196,5","198,5","194,6","-1,13","0,29","-0,01","420,6","-2,00","-3,34","-1,07","-1,99","206,9","398,1","-8,2","0,00","0,00","0,00","0,00","0,00","-5,15","-5,15","-0,46","0,13","-1,87","0,57","62,51","-3,42","-0,90","21,65","100,0","0","0","189,80","0","0","0,0","0","0","0","0","6343","0","23,60","4","225,4","0","0","0,0","0,0","0,0","0,0","1","0","0,227","0,227","137,887","49,653","0","120,00","665,9","7750","80,0","80,0","105,0","105,0","228,0","2,40","0","0","1","111,1","92,4","92,4","95,1","95,1","41,0","-60,97","-10,00","-55,11","-18,09","2","-358,400","0,1","100,0","32,3","11,4","38,6","17,1","0","0","100,0","0,00","0,00","0,00","0,00","4250","1115","5959","2530","302,1","309,2","319,2","327,0","36,33","33,51","37,59","35,88","312,0","312,0","333,0","333,0","98,69","99,59","97,17","97,89","-2,15","-2,82","-3,65","-3,34","-0,2","-0,3","3,1","4,3","96,8","79,2","104,7","94,0","107,3","81,4","106,7","90,9","104,1","79,3","107,0","90,3","98,2","75,9","103,1","87,0","-0,43","-0,16","0,14","0,15","1,60","195,69","193,63","189,75","189,84","255,0","6,3"
"0","1","1","1","1","1","1","0","0","100","3","1,169","30,0","0,0","-0,07","137,887","62,0","0,0","197,1","194,3","196,9","193,0","-1,18","0,25","0,01","416,0","-1,92","-3,59","-0,83","-2,37","206,2","391,8","-8,2","0,00","0,00","0,00","0,00","0,00","-5,15","-5,15","-0,21","-0,13","-2,00","0,17","62,64","-4,23","-0,80","13,05","100,0","0","0","189,90","0","0","0,0","0","0","0","0","6347","0","23,59","4","226,0","1","0","0,0","0,0","0,0","0,0","1","0","0,330","0,330","137,887","49,653","1","120,00","665,9","7750","80,0","80,0","105,0","105,0","228,0","2,40","0","0","1","111,1","92,1","92,1","86,5","86,5","41,0","-53,54","-0,52","-44,57","-17,45","2","-358,500","0,0","100,0","36,7","11,3","49,6","22,3","0","0","100,0","0,00","0,00","0,00","0,00","3917","99","6476","2511","302,9","311,7","318,2","327,1","36,34","33,51","37,59","35,88","312,0","312,0","333,0","333,0","98,68","99,59","97,17","97,89","-2,97","-3,73","-4,24","-3,94","-0,2","-0,3","3,2","3,8","96,9","79,2","104,7","94,0","107,4","81,3","106,9","90,9","104,2","79,2","107,2","90,3","98,3","75,8","103,3","87,0","-0,52","-0,14","0,13","0,15","1,60","195,70","194,26","189,90","189,90","255,0","6,3"
"0","1","1","1","1","1","1","0","0","100","3","1,169","30,0","0,0","-0,10","137,887","62,0","0,0","194,8","192,1","195,3","191,4","-1,11","0,28","-0,05","421,4","-2,16","-3,44","-0,63","-1,97","205,3","385,2","-8,1","0,00","0,00","0,00","0,00","0,00","-5,15","-5,15","-0,42","0,41","-1,85","0,89","62,80","-4,08","-0,92","8,55","100,0","0","0","192,22","0","0","0,0","0","0","0","0","6424","0","23,59","4","226,6","0","0","0,0","0,0","0,0","0,0","0","0","0,433","0,433","137,887","49,653","0","120,00","665,9","7750","80,0","80,0","105,0","105,0","228,0","2,40","0","0","1","66,7","92,5","92,5","96,8","96,8","41,0","-43,83","-9,76","-37,22","-11,45","2","-358,600","0,0","100,0","34,6","10,8","38,2","17,1","0","0","100,0","0,00","0,00","0,00","0,00","3330","1067","5851","2264","304,0","309,3","319,9","327,9","36,34","33,51","37,59","35,87","312,0","312,0","333,0","333,0","98,68","99,59","97,16","97,89","-3,00","-3,69","-4,04","-3,72","-0,2","-0,3","4,0","5,1","96,9","79,2","104,7","93,9","107,4","81,2","107,0","90,8","104,2","79,1","107,4","90,2","98,3","75,8","103,4","86,9","-0,48","-0,14","0,14","0,15","1,60","195,91","195,04","191,54","192,90","255,0","6,3"
"0","1","1","1","1","1","1","0","0","100","3","1,169","30,0","0,0","-0,12","137,887","62,0","0,0","192,9","190,1","193,8","190,0","-1,14","0,19","0,11","417,8","-1,93","-3,54","-0,85","-2,22","204,5","379,6","-8,1","0,00","0,00","0,00","0,00","0,01","-5,15","-5,15","-0,30","0,11","-1,88","0,63","63,00","-3,68","-0,83","3,63","100,0","0","0","190,57","0","0","0,0","0","0","0","0","6369","0","23,58","4","227,2","1","0","0,0","0,0","0,0","0,0","0","0","0,527","0,527","137,887","49,653","1","120,00","665,9","7750","80,0","80,0","105,0","105,0","228,0","2,40","0","0","1","166,7","91,2","91,2","91,1","91,1","41,0","-65,63","-8,14","-46,02","-17,43","2","-358,690","0,0","100,0","35,2","10,8","47,1","20,4","0","0","100,0","0,00","0,00","0,00","0,00","4509","942","5088","2119","301,5","309,7","321,2","327,9","36,35","33,50","37,60","35,86","312,0","312,0","333,0","333,0","98,68","99,59","97,15","97,88","-2,73","-3,43","-3,59","-3,26","-0,2","-0,3","3,0","3,3","96,9","79,1","104,7","93,9","107,4","81,2","107,2","90,8","104,2","79,1","107,6","90,2","98,4","75,7","103,6","86,9","-0,50","-0,14","0,14","0,15","1,60","196,38","195,75","190,50","190,64","255,0","6,3"
"0","1","1","1","1","1","1","0","0","100","3","1,169","30,0","0,0","-0,16","137,887","62,0","0,0","190,7","188,0","192,3","188,5","-0,41","0,24","-0,01","419,3","-1,90","-3,55","-1,04","-2,01","203,4","373,0","-8,1","0,00","0,00","0,00","0,00","0,01","-5,15","-5,15","-0,30","-0,04","-1,53","10,13","63,28","-2,54","-0,82","-14,34","100,0","0","0","190,35","0","0","0,0","0","0","0","0","6362","0","23,58","4","228,0","0","0","0,0","0,0","0,0","0,0","0","0","0,630","0,630","137,887","49,653","0","120,00","665,9","7750","80,0","80,0","105,0","105,0","228,0","2,40","0","0","1","111,1","91,8","91,8","94,0","94,0","41,0","15,58","11,47","-49,87","-29,72","2","-358,800","-56,2","100,0","30,9","13,3","40,4","22,9","0","0","100,0","0,00","0,00","0,00","0,00","3656","1871","4360","3063","303,4","307,5","323,0","325,8","36,35","33,50","37,60","35,85","312,0","312,0","333,0","333,0","98,68","99,59","97,15","97,88","0,83","0,21","-2,35","-2,01","-0,0","-0,2","3,0","2,4","97,0","79,1","104,7","93,8","107,3","81,1","107,3","90,7","104,1","79,0","107,6","90,1","98,3","75,6","103,7","86,8","-3,48","2,88","0,14","0,15","1,60","196,85","197,76","190,35","190,35","255,0","6,3"
"0","1","1","1","1","1","1","0","0","100","3","1,169","30,0","0,0","-0,18","137,887","62,0","0,0","188,7","186,1","190,9","187,1","0,09","0,23","-0,02","419,9","-2,73","-2,61","-1,62","-1,40","202,4","367,2","-8,0","0,00","0,00","0,00","0,00","0,01","-5,15","-5,15","-0,34","-1,30","-0,63","5,75","63,57","0,04","-0,74","-27,41","100,0","0","0","190,29","0","0","0,0","0","0","0","0","6360","0","23,57","4","228,8","1","0","0,0","0,0","0,0","0,0","0","0","0,723","0,723","137,887","49,653","1","120,00","665,9","7750","80,0","80,0","105,0","105,0","228,0","2,40","0","0","1","111,1","93,2","93,2","93,3","93,3","41,0","-8,92","-0,30","-1,95","36,48","2","-358,890","-2,3","100,0","19,9","20,5","32,2","31,7","0","0","100,0","0,00","0,00","0,00","0,00","2503","3370","2687","4359","306,0","303,7","326,6","322,7","36,36","33,49","37,60","35,85","312,0","312,0","333,0","333,0","98,67","99,59","97,15","97,88","0,07","-0,47","0,24","0,53","-0,1","-0,1","2,8","1,5","97,0","79,1","104,7","93,8","107,2","81,0","107,1","90,6","104,0","78,9","107,5","90,0","98,1","75,5","103,5","86,7","-0,63","0,12","0,15","0,15","1,60","196,97","199,16","190,29","190,29","255,0","6,3"
"0","1","1","1","1","1","1","0","0","100","3","1,169","30,0","0,0","-0,20","137,887","62,0","0,0","186,4","183,8","189,2","185,5","0,76","0,26","-0,06","419,3","-3,36","-2,25","-1,92","-1,08","201,3","360,4","-8,0","0,00","0,00","0,00","0,00","0,01","-5,15","-5,15","-0,34","-1,57","-0,04","6,81","63,81","1,80","-0,76","-12,05","100,0","0","0","191,01","0","0","0,0","0","0","0","0","6384","0","23,57","4","229,8","0","0","0,0","0,0","0,0","0,0","0","0","0,830","0,830","137,887","49,653","0","120,00","665,9","7750","80,0","80,0","105,0","105,0","228,0","2,40","0","0","1","111,1","95,2","95,2","89,9","89,9","41,0","2,30","33,12","22,34","89,04","2","-359,000","0,0","100,0","15,3","26,7","27,9","38,6","0","0","100,0","0,00","0,00","0,00","0,00","548","3281","2867","5789","310,6","303,9","326,2","319,2","36,36","33,49","37,60","35,85","312,0","312,0","333,0","333,0","98,67","99,59","97,14","97,88","1,50","0,89","1,62","1,93","-0,2","-0,1","2,4","1,9","97,0","79,1","104,7","93,8","106,9","80,9","106,9","90,6","103,8","78,8","107,3","90,0","97,9","75,4","103,3","86,7","-0,18","-0,35","0,14","0,15","1,60","198,01","199,30","191,01","191,01","255,0","6,3"
"0","1","1","1","1","1","1","0","0","100","3","1,169","30,0","0,0","-0,22","137,887","62,0","0,0","184,5","182,0","187,8","184,1","0,85","0,24","0,09","418,1","-3,64","-2,23","-2,32","-1,04","200,4","354,6","-8,0","0,00","0,00","0,00","0,00","0,01","-5,15","-5,15","-0,37","0,74","0,07","-0,06","64,00","2,00","-0,82","-6,00","100,0","0","0","191,74","0","0","0,0","0","0","0","0","6408","0","23,57","4","230,5","1","0","0,0","0,0","0,0","0,0","1","0","0,923","0,923","137,887","49,653","1","120,00","665,9","7750","80,0","80,0","105,0","105,0","228,0","2,40","0","0","1","111,1","91,4","91,4","91,0","91,0","41,0","7,60","42,04","22,05","84,43","2","-359,090","0,0","100,0","15,3","31,8","24,4","40,3","0","0","100,0","0,00","0,00","0,00","0,00","1200","3555","2828","5629","309,1","303,0","326,4","319,7","36,36","33,49","37,59","35,84","312,0","312,0","333,0","333,0","98,67","99,59","97,14","97,87","1,87","1,18","1,74","2,07","-0,2","-0,1","2,4","2,1","97,0","79,1","104,7","93,8","106,8","80,9","106,8","90,6","103,6","78,8","107,1","90,0","97,8","75,4","103,2","86,7","-0,19","-0,43","0,15","0,14","1,60","199,00","199,64","191,74","191,74","255,0","6,3"
"0","1","1","1","1","1","1","0","0","100","3","1,169","30,0","0,0","-0,24","137,887","62,0","0,0","182,5","180,0","186,4","182,7","0,66","0,26","-0,10","422,0","-3,08","-2,15","-1,79","-0,92","199,4","348,3","-7,9","0,00","0,00","0,00","0,00","0,01","-5,15","-5,15","-0,46","-1,19","-0,05","-2,68","64,24","1,58","-0,84","-0,66","100,0","0","0","192,72","0","0","0,0","0","0","0","0","6441","0","23,56","4","231,3","0","0","0,0","0,0","0,0","0,0","1","0","1,023","1,023","137,887","49,653","0","120,00","665,9","7750","80,0","80,0","105,0","105,0","228,0","2,40","0","0","1","166,7","94,9","94,9","95,6","95,6","41,0","9,00","34,74","16,85","59,17","2","-359,190","0,0","100,0","13,0","27,2","22,2","36,8","0","0","100,0","0,00","0,00","0,00","0,00","1478","3235","2762","4669","308,5","303,9","326,7","321,8","36,36","33,49","37,59","35,84","312,0","312,0","333,0","333,0","98,67","99,59","97,14","97,87","1,59","1,03","1,30","1,62","-0,2","-0,1","2,5","2,4","97,0","79,1","104,7","93,7","106,6","80,8","106,6","90,6","103,4","78,7","106,9","90,0","97,6","75,4","103,0","86,7","-0,16","-0,36","0,14","0,15","1,60","199,92","200,05","192,72","192,72","255,0","6,3"
